Date,Forecasted Load,Lower CI,Upper CI
2024-08-15 00:00:00+00:00,225828.1744681,187091.52213466284,264564.8268015372
2024-08-16 00:00:00+00:00,220909.48565382062,182170.89540594022,259648.07590170103
2024-08-17 00:00:00+00:00,191124.64593907466,152384.5854947469,229864.70638340243
2024-08-18 00:00:00+00:00,180263.44820627564,141522.27238734986,219004.62402520142
2024-08-19 00:00:00+00:00,219659.04032473807,180912.01630229817,258406.06434717798
2024-08-20 00:00:00+00:00,225009.5812877862,186258.12092646453,263761.0416491078
2024-08-21 00:00:00+00:00,226112.8176467682,187357.99185306858,264867.64344046783
2024-08-22 00:00:00+00:00,225828.17446810007,187070.79557584785,264585.5533603523
2024-08-23 00:00:00+00:00,220909.48565382065,182150.1698834257,259668.8014242156
2024-08-24 00:00:00+00:00,191124.6459390747,152363.86075835134,229885.43111979804
2024-08-25 00:00:00+00:00,180263.44820627567,141501.5482473091,219025.34816524223
2024-08-26 00:00:00+00:00,219659.0403247381,180891.29528854147,258426.78536093474
2024-08-27 00:00:00+00:00,225009.58128778622,186237.40228362015,263781.7602919523
2024-08-28 00:00:00+00:00,226112.81764676824,187337.2750084502,264888.36028508627
2024-08-29 00:00:00+00:00,225828.1744681001,187050.08009519917,264606.26884100103
2024-08-30 00:00:00+00:00,220909.48565382068,182129.4554374168,259689.51587022457
2024-08-31 00:00:00+00:00,191124.6459390747,152343.14709720173,229906.14478094765
2024-09-01 00:00:00+00:00,180263.44820627567,141480.83518155874,219046.0612309926
2024-09-02 00:00:00+00:00,219659.0403247381,180870.58534406684,258447.49530540936
2024-09-03 00:00:00+00:00,225009.58128778622,186216.69470626063,263802.4678693118
2024-09-04 00:00:00+00:00,226112.81764676824,187316.5692264373,264909.06606709916
2024-09-05 00:00:00+00:00,225828.1744681001,187029.37567497222,264626.973261228
2024-09-06 00:00:00+00:00,220909.48565382068,182108.7520501733,259710.21925746807
2024-09-07 00:00:00+00:00,191124.6459390747,152322.44449356123,229926.84738458815
2024-09-08 00:00:00+00:00,180263.44820627567,141460.1331723645,219066.76324018685
2024-09-09 00:00:00+00:00,219659.0403247381,180849.88645115343,258468.19419832277
2024-09-10 00:00:00+00:00,225009.58128778622,186195.99817667523,263823.1643988972
2024-09-11 00:00:00+00:00,226112.81764676824,187295.8744893268,264929.7608042097
2024-09-12 00:00:00+00:00,225828.1744681001,187008.68229746973,264647.6666387305
2024-09-13 00:00:00+00:00,220909.48565382068,182088.05970400243,259730.91160363893
2024-09-14 00:00:00+00:00,191124.6459390747,152301.7529297404,229947.53894840897
2024-09-15 00:00:00+00:00,180263.44820627567,141439.44220203947,219087.45421051187
2024-09-16 00:00:00+00:00,219659.0403247381,180829.19859212756,258488.88205734864
2024-09-17 00:00:00+00:00,225009.58128778622,186175.31267720042,263843.849898372
2024-09-18 00:00:00+00:00,226112.81764676824,187275.1907794627,264950.4445140738
2024-09-19 00:00:00+00:00,225828.1744681001,186987.99994504158,264668.34899115865
2024-09-20 00:00:00+00:00,220909.48565382068,182067.3783812584,259751.59292638296
2024-09-21 00:00:00+00:00,191124.6459390747,152281.0723880968,229968.21949005258
2024-09-22 00:00:00+00:00,180263.44820627567,141418.76225294376,219108.13415960758
2024-09-23 00:00:00+00:00,219659.0403247381,180808.52174936264,258509.55890011357
2024-09-24 00:00:00+00:00,225009.58128778622,186154.63819021956,263864.52438535285
2024-09-25 00:00:00+00:00,226112.81764676824,187254.51807923615,264971.1172143003
2024-09-26 00:00:00+00:00,225828.1744681001,186967.3286000846,264689.0203361156
2024-09-27 00:00:00+00:00,220909.48565382068,182046.7080643425,259772.26324329886
2024-09-28 00:00:00+00:00,191124.6459390747,152260.402851035,229988.88902711438
2024-09-29 00:00:00+00:00,180263.44820627567,141398.0933074845,219128.80310506685
2024-09-30 00:00:00+00:00,219659.0403247381,180787.8559052789,258530.2247441973
2024-10-01 00:00:00+00:00,225009.58128778622,186133.97469816302,263885.1878774094
2024-10-02 00:00:00+00:00,226112.81764676824,187233.85637108498,264991.7789224515
2024-10-03 00:00:00+00:00,225828.1744681001,186946.66824504247,264709.6806911577
2024-10-04 00:00:00+00:00,220909.48565382068,182026.04873570273,259792.92257193863
2024-10-05 00:00:00+00:00,191124.6459390747,152239.7443010063,230009.54757714306
2024-10-06 00:00:00+00:00,180263.44820627567,141377.43534811542,219149.46106443592
2024-10-07 00:00:00+00:00,219659.0403247381,180767.2010423434,258550.8796071328
2024-10-08 00:00:00+00:00,225009.58128778622,186113.32218350776,263905.8403920647
2024-10-09 00:00:00+00:00,226112.81764676824,187213.20563749378,265012.42965604266
2024-10-10 00:00:00+00:00,225828.1744681001,186926.01886240544,264730.33007379476
2024-10-11 00:00:00+00:00,220909.48565382068,182005.40037783366,259813.5709298077
2024-10-12 00:00:00+00:00,191124.6459390747,152219.09672050865,230030.19515764073
2024-10-13 00:00:00+00:00,180263.44820627567,141356.788357337,219170.10805521434
2024-10-14 00:00:00+00:00,219659.0403247381,180746.55714306963,258571.52350640658
